title,projectUrl,acronym,return_code,redirect_url
NETWORKED ELECTRONIC STORAGE AND COMMUNICATION OF TELEMATICS APPLICATIONS PROGRAMME RESULTS,http:// www.ejeisa.com/nectar/,NECTAR,[Errno -2] Name or service not known,
REQUIREMENTS ENGINEERING AND SPECIFICATION IN TELEMATICS,http://info.lut.ac.uk/research/husat/respect/,RESPECT,404,
TELEMATICS SUPPORTED WORKFLOW ANALYSIS AND BUSINESS PROCESS ENHANCEMENT,http://www.unisg.ch/~item/PROJECTS/PM/teleflow.html,TELEFLOW,404,
COMPUTER AIDED POST IN EUROPE IN THE YEAR 2000,http://www-vs.informatik.uni-ulm.de/index.html,CAPE 2000,302,http://www-vs.informatik.uni-ulm.de/
"Integrated Environmental Monitoring, Forecasting and Warning systems in Metropolitan Areas",http://www.mdx.ac.uk/emma,EMMA,404,
Integrated Telematics System for Administrations Environmental Management,http://dpa.sag.es/~itsaem/,ITSAEM,[Errno -2] Name or service not known,
Environmental Forecasting for the Effective Control of Traffic,http://www.tol.hol.gr/business/effect,EFFECT,[Errno -2] Name or service not known,
DOMESTIC INTERACTIVE TELEMATIC EDUCATION AND LEARNING,http://www.cet.hut.fi/domitel,DOMITEL,[Errno -2] Name or service not known,
DISTANCE EDUCATION AND TUTORING IN HETEROGENEOUS TELEMATICS ENVIRONMENTS,http://www.inesca.pt/,DEMOS,[Errno -2] Name or service not known,
CORPORATE ORGANISATIONS INTERACTIVE NETWORK SYSTEMS,http://www.coins-project.com,COINS,[Errno -2] Name or service not known,
Observations and Modelling of Eddy Scale Geostrophic and Ageostrophic Circulation,http://campanilla.uib.es/Omega/,OMEGA,[Errno -2] Name or service not known,
Biofouling Reduction on Optical Systems,http://www.eng.gla.ac.uk:80/marine/bros.htm,BROS,301,http://www.gla.ac.uk/schools/engineering/
European Subpolar Ocean Programme Phase 2: The Thermohaline Circulation in the Greenland Sea,http://www.geol.uib.no/esop2/esop2.html,ESOP-2,[Errno -2] Name or service not known,
Probabilistic design tools for vertical breakwaters,http://www-public.tu-bs.de:8080/~i5102401/proverbs.html,PROVERBS,[Errno -2] Name or service not known,
Instrumentation for marine CO2 from remote platforms,http://www.uea.ac.uk/~e559/imcorp.htm,IMCORP,404,
Broadband Urban Rural Based Open Networks,http://www.nwconnect.ie/Screenphones/bourbon/,BOURBON,[Errno -2] Name or service not known,
Collaborative Integrated Communications For Construction,http://www.hhdc.bicc.com/cicc/,CICC,[Errno -2] Name or service not known,
Storage for Multimedia Application Systems in the Home,http://www-it.et.tudelft.nl/pda/smash,SMASH,[Errno -2] Name or service not known,
Reconstruction using Scanned Laser and Video,http://www.hhdc.bicc.com/resolv/default.htm,RESOLV,[Errno -2] Name or service not known,
Towards broadband access systems for catv optical networks,http://wwwtios.cs.utwente.nl/ctit/projects/tobasco,TOBASCO,404,
Parallel industrial numerical applications and portable libraries,http://www.nag.co.uk/projects/PINEAPL,PINEAPL,404,
European parliaments research initiative,http://www.epri.org,EPRIWATCH,302,http://sagsunseinfach.de/
Forecast and assessment of socio-economic impact of advanced communications and recommendations,http://www.analysys.co.uk/acts/fair/,FP4-FAIR,404,
Learn from video extensive real atm gigabit experiment,http://www.dit.upm.es/~leverage,LEVERAGE,301,http://www.dit.upm.es/~leverage/
National host interconnection experiments,http://www.deteberkom.de/NICE/,NICE,[Errno -2] Name or service not known,
Multimedia Information Window for National Hosts,http://www.infowin.org,INFOWIN,200,
SME and Regional Telecom Support,http://www.smarts.org,SMARTS,200,
TELE-SHOPPING SERVICES USING VIRTUAL REALITY AND INTERACTIVE MULTIMEDIA,http://www.cocom.dk/teleshoppe.htm,TELESHOPPE,404,
Architectures Software and Hardware for MPEG-4 Systems,http://www.fzi.de/esm/projects/emphasis/welcome.html,EMPHASIS,404,
Drosophila European Stock Centres,http://www.umu.se/genetik/Eurodro.htm or http://fly.ebi.ac.uk:7081/stocks/stock-centers/lk/umea/umea-doc.html,,404,
Impact of a climatic gradient on the Physiological Ecology of a Pelagic crustacean,http://www.obs-vlfr.fr/PEP/.index.html,PEP,404,
Upgrading Flow Cytometry for Buoy-mounted operation: first experimental implementation,http://www.pi.net/~dubelaar/cytobuoy.html,CYTOBUOY,404,
Interactions of physical and biological factors in the surf and swash zone of European rocky shores,http://eurorock.dbag.unifi.it/,EUROROCK,[Errno -2] Name or service not known,
Geophysical and oceanographic station for abyssal research,http://www.ingrm.it/GEOSTAR,GEOSTAR,[Errno -2] Name or service not known,
European North Atlantic Margin : Quantification and Modelling of Large-Scale Sedimentary Processes and Fluxes,http://www.marine.ie/datacentre/projects/enam,ENAM II,404,
Embedded filter unit for automotive signal conditioning,http://www.integramm.org,FILU,200,
Instruments for sustainable regional development,http://www.eures.de/insured/insured.htm,INSURED,404,
Biogases transfers in estuaries.,http://www.ulg.ac.be/oceanbio/biogest/,BIOGEST,302,http://labos.ulg.ac.be/oceanologie/
The eco-metabolism of estuarine intertidal flat,http://www.nioo.knaw.nl/cemo/ecoflat/Ecoflat.htm,ECOFLAT,404,
"Bioactive Marine Natural Products in the Field of Antitumoral, Antiviral and Immunomodulant Activity",http://www.sante.univ-nantes.fr/pharma/SMAB/MAST/,,503,
Broadband acoustic scattering signatures of fish and zooplankton,http://www.eee.bham.ac.uk/acs_gr/bass.htm,BASS,404,
The morphological development of intertidal mudflats,http://www.science.plym.ac.uk/KDYER/default.htm,INTRMUD,[Errno -2] Name or service not known,
Development of an airborne geiod mapping system for coastal oceanography,http://agmas co.gfz-potsdam.de,AGMASCO,[Errno -2] Name or service not known,
High resolution temporal and spatial study of the benthic biology and geochemistry of a north-eastern Atlantic abyssal locality,http://www.marine.ie/datacentre/projects/BENGAL/,BENGAL,404,
Prediction of Aggregated-scale Coastal Evolution,http://www.sms.utwente.nl/ondz/pace/pace.htm,PACE,[Errno -2] Name or service not known,
Biodiversity and genetics of algal populations,http://oracle.bangor.ac.uk/biogap/,BIOGAP,[Errno -2] Name or service not known,
Autonomous Lander Instrument Packages for Oceanographic Research,http://www.abdn.ac.uk/~nhi648/alipor.htm,ALIPOR,404,
Microbial ecosystem dynamics,http://imp.imp.uib.no/medea/,MEDEA,timed out,
Pre-operational modelling in the seas of Europe,http://www.pol.ac.uk/promise/index.html,PROMISE,404,
Sonar Technology for Monitoring and Assessment of Benthic Communities,http://biosonar.vki.dk/,BIOSONAR,[Errno -2] Name or service not known,
Microorganisms in deep sea vents and marine hot springs as sources of potentially valuable chemicals,http://www.sb-roscoff.fr/Bact/MAST/,,404,
Local Ice Cover Deformation and Mesoscale Ice Dynamics,http://www.enrich.hi.is:80/icestate/,ICESTATE,[Errno -2] Name or service not known,
Performance of Soft Beach Systems and Nourishment Measures for European Coasts,http://www.safe.isysgroupe.fr/Safe.nsf,SAFE,[Errno -2] Name or service not known,
Trans-Atlantic Study of Calanus Finmarchicus,http://calanus.nfh.uit.no/TASC.HTML,TASC,timed out,
Fluxes across narrow shelves. The Ebro delta case,http://www.upc.es/lim/eng/pro/fans/,FANS,[Errno -2] Name or service not known,
Coastal sediment transport assessment using synthetic aperture radar,http://www.argoss.nl/cstar/cstar.html,C-STAR,404,
Integrating environmental and population variation: a model for biodiversity studies,http://www.leeds.ac.uk/biology/research/europe/ambios.html,AMBIOS,404,
Miniaturized and reconfigurable instrumentation for multipurpose survey with a mini autonomous vehicle: Development and validation at sea,http://www.mumm.ac.be/docs_en/projects/mauve/,MAUVE,302,http://www.mumm.ac.be/page_not_found.php
The remote detection of sediment instability on the European continental margin and slope,http://www.soc.soton.ac.uk/CHD/poseidon/psdn_layout.html,POSEIDON,404,
Mesoscale Ocean Remote Sensing Experiments for imaging and modelling of internal wave fields by radar sensing,http://www.compulink.co.uk/~ocs/morse,MORSE,404,
Climatic Variability of Mediterranean Paleo-circulation,http://mist.met.ed.ac.uk/~paulm/clivamp.html,CLIVAMP,[Errno -2] Name or service not known,
Integrated System for Analysis and Characterization of the Sea floor,http://www.ntnu.no/ISACS/,ISACS,404,
Mediterranean desertification and land use. Project 4 ephemeral channels and rivers,http://www.medalus.leeds.ac.uk/,MEDALUS III,[Errno -2] Name or service not known,
Civil aircraft for remote sensing and in-situ measurements in troposphere and lower stratosphere based on the instrumentation container concept,http://mpch-mainz.mpg.de,CARIBIC,[Errno -5] No address associated with hostname,
Validating hydrological moderocess studies and internal data from research basins: tools for assessing hydrological impacts of environmental change.,http://www.ija.csic.es/rn/hidro/inicial.html,VAHMPIRE,[Errno -2] Name or service not known,
Dynamics and stability of reed-dominated ecosystems in relation to major environmental factors that are subject to global and regional anthropogenically induced changes.,http://botanik.aau.dk/eureed/,EUREED II,[Errno -2] Name or service not known,
Novel technique for in-process monitoring of surfactant production by small-angle X-ray scattering,http://www.elettra.trieste.it/projects/euprog/saxs/,,404,
Computerised Bibliographic Record Actions Plus Preservation and Service Developments for Electronic Publications,http://www.bl.uk/information/cobra.html,COBRA+,404,
European Copyright User Platform,http://www.kaapeli.fi/eblida/ecup,ECUP+,404,
"Global, reactive, efficient and environment friendly, transportation logistics",http://www.cs.strath.ac.uk/~ps/GreenTrip/,GREENTRIP,404,
Concurrent engineering design advisor system,http://yeats.ucc.ie/cedas/cedas.html,CEDAS,timed out,
Maritime industries virtual enterprise linkage,http://www.biba.uni-bremen.de/projects/marvelous,MARVEL OUS,301,http://www.biba.uni-bremen.de/projects/marvelous/
Integrated information and process management in manufacturing engineering,http://www.ait.org.uk/,OPAL,200,
Real time decision making in manufacturing,http://www.intrasoft.gr/rider.htm,RIDER,503,
Datamining file server,http://www.trans.net/dafs,DAFS,200,
Remote maintenance for facility exploitation,http://www.gsip.cran.u-nancy.fr/remafex,REMAFEX,[Errno -2] Name or service not known,
High performance telecontrol station with image and sound capabilities,http://cupido.uninova.pt/%7Einnova/,INNOVA,[Errno -2] Name or service not known,
System for high-speed for automatic reading of cheques,http://www.mbr-train.org,SHAROC,200,
High-performance computing for clinical applications of 3d ultrasound,http://www.igd.fhg.de/www/igd-a7/Projects/Invivo/English/3dultra.html,3DULTRA,404,
High performance system for textile evaluation,http://www.joinedt.eu,HIPERTEX,[Errno -2] Name or service not known,
Embedded interactive video server,http://set.gmd.de/RS/EIVIS,EIVIS,[Errno -2] Name or service not known,
Parallel computing for Spain 2,http://www.ac.upc.es/cepba/,PACOS 2,404,
A framework for integrated symbolic/numeric computation,http://www.warthe.eu,FRISCO,[Errno -2] Name or service not known,
Iota-intelligent object tracking and analysis using smart sensor technology,http://www.ivp.se/products/index.htm,IOTA,404,
Colour and texture inspection equipment,http://tks.oulu.fi/Catie/,CATIE,[Errno -2] Name or service not known,
Parallel scalable computers for high performance,http://www.play-with-water.ch,PACHA,403,
European processing core technology,http://www.cetia.com/news/EUROPRO/europroj.html,EUROPRO,200,
Laser quality iii-v nitrides,http://crhea.unice.fr/laquani/index.htm,LAQUANI,[Errno -2] Name or service not known,
A parallel optimisation scheme applied to extrusion die design,http://www.polyflow.be,ESOP,200,
Integrated simulation and design system for civil and structural engineering,http://public.web.cern.ch/public/,INSIDE,301,http://home.cern/
Tools for high productivity engineering design,http://www.bertin.fr,TOOLSHED,200,
Fluid structure interaction- high performance simulation for structural design,http://tina.sti.jrc.it/FSI/,FSI-SD,[Errno -5] No address associated with hostname,
High performance computing for process industries awareness and promotion exercise,http://www.dci.clrc.ac.uk/activity/apex,APEX,[Errno -2] Name or service not known,
High speed manipulation by random access vision,http://www.cs.may.ie/research/computer_vision/ramap/,RAMAP,404,
A planning and control system for a semiconductor virtual enterprise,http://www.nimblesite.com/xcittic,X-CITTIC,302,https://www.hugedomains.com/domain_profile.cfm?d=nimblesite&e=com
Toward a concurrent engineering environment in the building and engineering structures industry,http://www.vtt.fi/cic/projects/tocee/,TOCEE,404,
Multimedia assisted distributed tele-engineering services,http://mates.cdt.luth.se,MATES,[Errno -2] Name or service not known,
Open HPF programming environment,http://www.vcpc.univie.ac.at/activities/projects/PHAROS.html,PHAROS,404,
Information technology for the textile industry,http://www.euratex.org,ITEX,302,http://www.euratex.eu/
Resource allocation based on line measurement,http://www.cl.cam.ac.uk/Research/SRG/measure.html,MEASURE,403,
Optimizing HPF for advanced applications,http://www.par.univie.ac.at/hpf%2b,HPF+,404,
2 real applications for requirements engineering,http://www.info.fundp.ac.be/~phe/2rare.html,2RARE,302,https://staff.info.unamur.be/phe/2rare.html
ADVANCED PASSENGER INFORMATION IN EUROPEAN CITIES,http://www.ul.ie/~idc/about/Projects.html),INFOPOLIS,404,
GUIDELINES IN HEALTHCARE,http://www.rbh.nthames.nhs.uk/rbh/itdept/r&d/projects/prestige.htm,PRESTIGE,500,
HPCN Europe on line newsmagazine,http://www.hoise.com,HOISE NM,200,
Optimum design of multibody systems,http://www.ceit.es,ODESIM,301,http://ceit.es/en/
Open interface for coupling of industrial simulation codes on parallel systems,http://fctesqa.jrc.ec.europa.eu/,CISPAR,timed out,
High performance simulation of internal combustion engines,http://www.uni-stuttgart.de/RUSuser/vis/hps-ice.html,HPS-ICE,301,http://www.hlrs.de/error/
Oil and gas exploration and production user reference group for emerging new technologies,http://www.pds.nl/urgent,URGENT,404,
